scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-16,20:00,204,Saint Kitts and Nevis,53246,17,,,,17,,0,,319,,1312,24640,1.0
2020-08-16,20:00,206,Greenland,56783,14,,,,14,,0,,247,,6296,110878,1.0
2020-08-16,20:00,207,Montserrat,4992,13,,1,,12,,0,,2604,200,61,12220,1.0
2020-08-16,20:00,208,Caribbean Netherlands,26253,13,,,,7,,6,,495,,424,16151,1.0
2020-08-16,20:00,209,Falkland Islands,3492,13,,,,13,,0,,3723,,2256,646048,2.0
2020-08-16,20:00,205,St. Barth,9881,13,,,,9,,4,,1316,,1699,171946,1.0
2020-08-16,20:00,210,Vatican City,801,12,,,,12,,0,,14981,,,,4.0
2020-08-16,20:00,211,Western Sahara,599044,10,,1,,8,,1,,17,2,,,5.0
2020-08-16,20:00,212,MS Zaandam,,9,,2,,,,7,,,,,,
2020-08-16,20:00,202,British Virgin Islands,30256,9,,1,,7,,1,,297,33,1522,50304,1.0
2020-08-16,20:00,213,Saint Pierre Miquelon,5790,4,,,,1,,3,,691,,,,1.0
2020-08-16,20:00,214,Anguilla,15020,3,,,,3,,0,,200,,537,35752,1.0
2020-08-16,20:00,215,China,1439323776,84827,19,4634,,79575,56,618,34,59,3,90410000,62814,3.0
