,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
27,Ecuador,"93,572","+1,603","5,916",+19,"71,605",+142,"16,051",369,"5,296",335,"261,829","14,818","17,669,556",South America
28,Bolivia,"87,891","+1,468","3,524",+59,"28,139",+766,"56,228",71,"7,519",301,"187,103","16,007","11,688,894",South America
29,Sweden,"82,323",,"5,763",,,,,34,"8,146",570,"863,315","85,428","10,105,768",Europe
30,Israel,"82,279","+1,288",592,+11,"57,068","+1,755","24,619",389,"8,946",64,"1,872,453","203,581","9,197,590",Asia
31,Oman,"81,357",+290,509,+7,"73,481","+1,218","7,367",173,"15,894",99,"309,212","60,407","5,118,802",Asia
32,Ukraine,"79,750","+1,489","1,879",+27,"43,655",+600,"34,216",143,"1,825",43,"1,154,378","26,413","43,705,144",Europe
33,Dominican Republic,"78,778","+1,069","1,289",+30,"42,538","+1,145","34,951",317,"7,255",119,"290,267","26,731","10,858,945",North America
34,Belgium,"72,784",+768,"9,866",+5,"17,728",+28,"45,190",69,"6,277",851,"1,791,554","154,513","11,594,876",Europe
35,Panama,"72,560",,"1,591",,"46,675",,"24,294",161,"16,791",368,"244,280","56,527","4,321,467",North America
36,Kuwait,"71,199",+472,474,+3,"62,806",+476,"7,919",125,"16,648",111,"529,130","123,720","4,276,831",Asia
37,Belarus,"68,738",+124,585,+2,"64,744",+544,"3,409",,"7,275",62,"1,363,011","144,249","9,448,992",Europe
38,UAE,"62,300",+239,356,,"56,245",+230,"5,699",,"6,291",36,"5,439,157","549,276","9,902,405",Asia
39,Romania,"60,623","+1,350","2,659",+43,"29,872",+583,"28,092",448,"3,154",138,"1,364,759","70,994","19,223,675",Europe
40,Netherlands,"57,987",+486,"6,157",+3,,,,38,"3,383",359,"1,079,860","63,007","17,138,859",Europe
41,Guatemala,"56,189",+919,"2,197",+29,"44,072",+937,"9,920",5,"3,131",122,"176,400","9,828","17,947,806",North America
42,Singapore,"54,929",+132,27,,"48,583",+271,"6,319",,"9,381",5,"1,474,372","251,812","5,855,057",Asia
43,Portugal,"52,537",+186,"1,750",+4,"38,364",+277,"12,423",33,"5,154",172,"1,705,474","167,310","10,193,512",Europe
44,Poland,"51,167",+843,"1,800",+13,"36,403",+362,"12,964",72,"1,352",48,"2,199,085","58,112","37,842,189",Europe
45,Honduras,"46,365",+610,"1,465",+19,"6,355",+130,"38,545",45,"4,674",148,"112,370","11,327","9,920,134",North America
46,Nigeria,"45,687",,936,,"32,637",,"12,114",7,221,5,"310,729","1,504","206,620,302",Africa
47,Japan,"43,815",,"1,033",,"30,153",,"12,629",131,347,8,"961,915","7,608","126,434,806",Asia
48,Bahrain,"43,307",,159,,"40,276",,"2,872",40,"25,373",93,"886,095","519,146","1,706,831",Asia
49,Ghana,"40,533",+436,206,,"37,702","+1,064","2,625",7,"1,302",7,"409,373","13,148","31,135,259",Africa
50,Armenia,"40,185",+200,785,+8,"32,395",+387,"7,005",,"13,558",265,"174,438","58,856","2,963,826",Asia
51,Kyrgyzstan,"39,571",+409,"1,459",+8,"31,062",+298,"7,050",24,"6,055",223,"267,718","40,968","6,534,773",Asia
52,Afghanistan,"37,054",+39,"1,312",+5,"25,960",+57,"9,782",31,950,34,"92,710","2,376","39,011,848",Asia
53,Switzerland,"36,451",+182,"1,986",,"31,900",+300,"2,565",21,"4,209",229,"835,724","96,491","8,661,125",Europe
54,Algeria,"34,639",+484,"1,293",+11,"24,083",+416,"9,263",57,789,29,,,"43,928,245",Africa
55,Azerbaijan,"33,481",+105,488,+5,"30,056",+360,"2,937",,"3,299",48,"779,508","76,810","10,148,493",Asia
56,Morocco,"32,007","+1,345",480,+19,"22,190",+642,"9,337",31,866,13,"1,427,635","38,632","36,954,554",Africa
57,Uzbekistan,"29,652",+595,187,+6,"21,006",+947,"8,459",228,885,6,"1,377,915","41,110","33,517,353",Asia
58,Serbia,"27,863",+255,632,+6,"14,047",,"13,184",121,"3,190",72,"741,073","84,853","8,733,569",Europe
59,Moldova,"27,443",+453,841,+6,"19,100",+182,"7,502",362,"6,805",209,"128,076","31,757","4,032,957",Europe
60,Ireland,"26,644",+174,"1,772",,"23,364",,"1,508",5,"5,390",358,"657,897","133,087","4,943,351",Europe
61,Kenya,"25,837",+699,418,+5,"11,899",+781,"13,520",44,479,8,"349,307","6,483","53,884,404",Africa
62,Venezuela,"24,166",,208,,"12,470",,"11,488",66,850,7,"1,573,859","55,364","28,427,280",South America
63,Nepal,"22,592",+378,73,+3,"16,313",+499,"6,206",,774,3,"747,691","25,616","29,187,920",Asia
64,Ethiopia,"22,253",+801,390,+10,"9,707",+292,"12,156",185,193,3,"488,936","4,243","115,231,540",Africa
65,Costa Rica,"22,081",,218,,"7,266",,"14,597",89,"4,331",43,"100,050","19,622","5,098,857",North America
66,Austria,"21,919",+82,721,+1,"19,812",+122,"1,386",24,"2,432",80,"955,239","106,000","9,011,717",Europe
67,Australia,"20,698",+426,278,+12,"11,320",,"9,100",53,811,11,"4,764,223","186,615","25,529,672",Australia/Oceania
68,El Salvador,"19,978",+434,536,+16,"9,515",+136,"9,927",514,"3,078",83,"258,647","39,856","6,489,603",North America
69,Czechia,"18,146",+86,389,,"12,764",+15,"4,993",17,"1,694",36,"743,589","69,422","10,711,073",Europe
70,Cameroon,"17,718",,391,,"15,320",,"2,007",30,666,15,"149,000","5,600","26,607,999",Africa
71,Ivory Coast,"16,524",,104,,"12,802",,"3,618",,625,4,"105,508","3,991","26,439,740",Africa
72,S. Korea,"14,562",+43,304,+1,"13,629",+86,629,17,284,6,"1,620,514","31,605","51,273,852",Asia
73,Denmark,"14,442",,617,,"12,840",,985,2,"2,492",106,"1,680,226","289,977","5,794,334",Europe
74,Palestine,"13,928",+206,96,+2,"7,706",+496,"6,126",,"2,724",19,"200,280","39,173","5,112,665",Asia
75,Bosnia and Herzegovina,"13,687",,394,,"7,373",,"5,920",,"4,175",120,"148,090","45,169","3,278,594",Europe
76,Bulgaria,"13,209",,442,,"7,622",,"5,145",55,"1,903",64,"299,924","43,200","6,942,712",Europe
77,Madagascar,"12,922",+214,141,+6,"10,604",+192,"2,177",95,466,5,"47,759","1,721","27,757,659",Africa
78,Sudan,"11,894",,773,,"6,243",,"4,878",,271,18,401,9,"43,946,341",Africa
79,North Macedonia,"11,754",+200,523,+4,"7,622",+15,"3,609",3,"5,642",251,"113,619","54,536","2,083,365",Europe
80,Senegal,"11,003",+116,229,+4,"7,329",+143,"3,445",39,656,14,"116,472","6,939","16,785,086",Africa
81,Norway,"9,568",+17,256,,"8,857",,455,2,"1,763",47,"479,789","88,431","5,425,586",Europe
82,DRC,"9,436",+81,218,,"8,275",+101,943,,105,2,,,"89,809,656",Africa
83,Malaysia,"9,070",+7,125,,"8,775",+47,170,2,280,4,"1,036,339","31,978","32,407,505",Asia
84,French Guiana,"8,204",,47,,"7,320",,837,23,"27,401",157,"42,101","140,615","299,406",South America
85,Gabon,"7,923",,51,,"5,704",,"2,168",9,"3,552",23,"89,423","40,087","2,230,707",Africa
86,Zambia,"7,903",+417,203,+3,"6,431",+167,"1,269",,429,11,"92,341","5,010","18,431,541",Africa
87,Guinea,"7,777",,50,,"6,800",,927,24,591,4,"14,407","1,094","13,165,882",Africa
88,Tajikistan,"7,706",,62,,"6,484",,"1,160",,806,6,,,"9,558,055",Asia
89,Haiti,"7,599",+17,177,+6,"4,893",+61,"2,529",,666,16,"18,501","1,621","11,416,483",North America
90,Finland,"7,568",+14,331,,"6,980",,257,,"1,366",60,"407,984","73,622","5,541,628",Europe
91,Luxembourg,"7,113",,119,,"5,848",,"1,146",6,"11,345",190,"631,466","1,007,155","626,980",Europe
92,Paraguay,"6,508",,69,,"5,123",,"1,316",25,911,10,"136,279","19,083","7,141,330",South America
93,Mauritania,"6,498",,157,,"5,443",,898,3,"1,394",34,"57,387","12,312","4,661,063",Africa
94,Albania,"6,275",+124,193,+4,"3,268",+41,"2,814",20,"2,181",67,"40,675","14,136","2,877,462",Europe
95,Lebanon,"6,223",+272,78,+8,"2,043",+1,"4,102",36,912,11,"358,376","52,531","6,822,137",Asia
96,Croatia,"5,543",+77,157,+2,"4,817",+59,569,8,"1,351",38,"126,410","30,813","4,102,508",Europe
97,Greece,"5,421",+151,211,+1,"1,374",,"3,836",17,520,20,"640,297","61,463","10,417,534",Europe
98,Djibouti,"5,338",,59,,"5,083",,196,,"5,395",60,"59,909","60,549","989,426",Africa
99,Libya,"5,079",,108,,660,,"4,311",,738,16,"61,077","8,877","6,880,608",Africa
100,Equatorial Guinea,"4,821",,83,,"2,182",,"2,556",,"3,426",59,"44,356","31,522","1,407,128",Africa
101,Maldives,"4,769",,19,,"2,754",,"1,996",12,"8,807",35,"85,587","158,063","541,474",Asia
102,Hungary,"4,653",+32,602,,"3,491",+27,560,8,482,62,"358,437","37,114","9,657,718",Europe
103,CAR,"4,641",,59,,"1,716",,"2,866",2,959,12,"29,816","6,163","4,837,982",Africa
104,Malawi,"4,575",,137,,"2,184",,"2,254",4,239,7,"34,051","1,776","19,176,194",Africa
105,Zimbabwe,"4,451",,102,,"1,345",,"3,004",,299,7,"147,026","9,878","14,884,394",Africa
106,Hong Kong,"4,008",+69,47,+1,"2,755",+135,"1,206",45,534,6,"692,430","92,285","7,503,207",Asia
107,Nicaragua,"3,902",,123,,"2,913",,866,,588,19,,,"6,632,478",North America
108,Congo,"3,637",,58,,"1,589",,"1,990",,658,10,,,"5,530,878",Africa
109,Montenegro,"3,549",,61,,"2,296",,"1,192",,"5,651",97,"38,891","61,921","628,074",Europe
110,Thailand,"3,348",+3,58,,"3,150",+2,140,1,48,0.8,"749,213","10,731","69,818,371",Asia
111,Somalia,"3,227",,93,,"1,728",,"1,406",2,203,6,,,"15,934,228",Africa
112,Eswatini,"3,128",+92,56,,"1,565",+89,"1,507",10,"2,693",48,"27,428","23,617","1,161,381",Africa
113,Mayotte,"3,068",,39,,"2,835",,194,1,"11,220",143,"13,000","47,543","273,437",Africa
114,Sri Lanka,"2,841",+2,11,,"2,576",+12,254,1,133,0.5,"166,737","7,783","21,422,607",Asia
115,Cuba,"2,829",,88,,"2,429",,312,6,250,8,"289,412","25,553","11,325,880",North America
116,Namibia,"2,802",,16,,575,,"2,211",22,"1,101",6,"32,369","12,717","2,545,390",Africa
117,Cabo Verde,"2,780",,29,,"2,042",,709,,"4,995",52,"61,633","110,732","556,597",Africa
118,Slovakia,"2,566",+43,31,,"1,861",+15,674,8,470,6,"277,894","50,897","5,459,922",Europe
119,Mali,"2,561",,125,,"1,956",,480,,126,6,"26,463","1,303","20,304,501",Africa
120,South Sudan,"2,463",+13,47,,"1,175",,"1,241",,220,4,"12,044","1,075","11,206,930",Africa
121,Slovenia,"2,247",+14,126,+1,"1,927",,194,3,"1,081",61,"136,455","65,636","2,078,968",Europe
122,Lithuania,"2,231",+37,81,,"1,668",+10,482,6,821,30,"550,176","202,418","2,718,018",Europe
123,Mozambique,"2,213",,15,,827,,"1,371",,71,0.5,"66,542","2,123","31,336,364",Africa
124,Suriname,"2,203",,29,,"1,505",,669,12,"3,752",49,"3,253","5,540","587,168",South America
125,Estonia,"2,147",+14,63,,"1,961",+5,123,,"1,618",47,"125,240","94,405","1,326,629",Europe
126,Rwanda,"2,128",,5,,"1,297",,826,,164,0.4,"289,153","22,273","12,982,426",Africa
127,Guinea-Bissau,"2,032",,27,,944,,"1,061",5,"1,030",14,"1,500",760,"1,972,405",Africa
128,Iceland,"1,955",+3,10,,"1,833",,112,1,"5,725",29,"155,718","456,021","341,471",Europe
129,Benin,"1,936",,38,,"1,600",,298,1,159,3,"93,677","7,708","12,152,847",Africa
130,Sierra Leone,"1,887",,68,,"1,435",,384,,236,9,,,"7,992,613",Africa
131,Yemen,"1,796",,512,,907,,377,,60,17,120,4,"29,888,696",Asia
132,Tunisia,"1,656",,51,,"1,251",,354,9,140,4,"100,298","8,477","11,831,138",Africa
133,New Zealand,"1,569",,22,,"1,524",,23,,314,4,"490,232","98,005","5,002,100",Australia/Oceania
134,Angola,"1,538",,67,,544,,927,20,47,2,"64,747","1,964","32,959,107",Africa
135,Uruguay,"1,325",,37,,"1,095",,193,2,381,11,"128,814","37,069","3,474,989",South America
136,Latvia,"1,288",+7,32,,"1,070",,186,,684,17,"211,937","112,500","1,883,880",Europe
137,Uganda,"1,267",+13,6,,"1,115",+2,146,,28,0.1,"290,701","6,337","45,871,818",Africa
138,Jordan,"1,246",+9,11,,"1,178",,57,3,122,1,"640,548","62,716","10,213,414",Asia
139,Liberia,"1,230",,78,,705,,447,,243,15,,,"5,068,944",Africa
140,Cyprus,"1,222",,19,,856,,347,,"1,011",16,"220,136","182,192","1,208,262",Asia
141,Georgia,"1,216",+3,17,,996,+2,203,,305,4,"258,525","64,820","3,988,347",Asia
142,Burkina Faso,"1,175",+17,54,,974,+13,147,,56,3,,,"20,956,424",Africa
143,Niger,"1,153",,69,,"1,057",,27,,47,3,"9,052",373,"24,283,842",Africa
144,Syria,"1,125",+65,50,+2,331,+20,744,,64,3,,,"17,540,765",Asia
145,Gambia,"1,090",,19,,146,,925,,450,8,"5,183","2,139","2,422,940",Africa
146,Malta,"1,035",+40,9,,675,,351,,"2,343",20,"138,430","313,427","441,666",Europe
147,Togo,"1,028",,22,,710,,296,2,124,3,"46,413","5,594","8,297,114",Africa
148,Jamaica,987,+29,13,+1,745,,229,,333,4,"42,447","14,328","2,962,513",North America
149,Andorra,955,,52,,839,,64,1,"12,358",673,"3,750","48,526","77,278",Europe
150,Chad,942,,76,,838,,28,,57,5,,,"16,469,258",Africa
151,Sao Tome and Principe,878,,15,,799,,64,,"3,999",68,"3,120","14,211","219,555",Africa
152,Bahamas,830,,14,,95,,721,1,"2,109",36,"6,084","15,456","393,626",North America
153,Botswana,804,,2,,63,,739,1,341,0.8,"68,423","29,039","2,356,205",Africa
154,Vietnam,797,+8,10,,395,,392,,8,0.1,"482,456","4,952","97,427,861",Asia
155,Lesotho,742,,23,,175,,544,,346,11,"8,771","4,091","2,143,989",Africa
156,Diamond Princess,712,,13,,651,,48,4,,,,,,
157,San Marino,699,,42,,657,,0,,"20,596","1,238","6,068","178,791","33,939",Europe
158,Réunion,675,,5,,631,,39,1,753,6,"35,419","39,532","895,969",Africa
159,Channel Islands,597,,47,,533,,17,,"3,431",270,"52,055","299,122","174,026",Europe
160,Guyana,538,,22,,189,,327,2,684,28,"5,165","6,563","786,946",South America
161,Tanzania,509,,21,,183,,305,7,8,0.4,,,"59,891,050",Africa
162,Taiwan,479,+2,7,,443,,29,,20,0.3,"83,117","3,489","23,821,316",Asia
163,Burundi,400,,1,,304,,95,,34,0.08,"15,614","1,310","11,923,187",Africa
164,Comoros,396,,7,,353,,36,,454,8,,,"871,377",Africa
165,Aruba,396,,3,,114,,279,,"3,707",28,"14,047","131,510","106,813",North America
166,Myanmar,359,,6,,311,+2,42,,7,0.1,"123,441","2,267","54,447,384",Asia
167,Mauritius,344,,10,,334,,0,,270,8,"205,285","161,389","1,271,990",Africa
168,Isle of Man,336,,24,,312,,0,,"3,949",282,"8,665","101,845","85,080",Europe
169,Martinique,336,,16,,98,,222,2,895,43,"12,227","32,585","375,234",North America
170,Faeroe Islands,295,+4,,,193,+1,102,,"6,035",,"46,126","943,619","48,882",Europe
171,Mongolia,293,,,,260,,33,1,89,,"39,190","11,935","3,283,488",Asia
172,Guadeloupe,290,,14,,186,,90,1,725,35,"19,499","48,732","400,131",North America
173,Eritrea,285,,,,245,,40,,80,,,,"3,551,309",Africa
174,Cambodia,246,+3,,,215,+1,31,1,15,,"70,664","4,221","16,742,008",Asia
175,Trinidad and Tobago,243,+18,8,,135,,100,,174,6,"10,399","7,428","1,399,962",North America
176,Cayman Islands,203,,1,,202,,0,,"3,085",15,"31,299","475,669","65,800",North America
177,Gibraltar,197,+7,,,184,,13,,"5,847",,"24,054","713,980","33,690",Europe
178,Papua New Guinea,188,,3,,53,,132,,21,0.3,"10,808","1,206","8,963,473",Australia/Oceania
179,Sint Maarten,177,+1,17,+1,86,,74,3,"4,123",396,"1,272","29,633","42,925",North America
180,Turks and Caicos,170,+29,2,,39,,129,3,"4,385",52,"1,342","34,615","38,769",North America
181,Bermuda,157,,9,,144,,4,,"2,522",145,"26,853","431,353","62,253",North America
182,Belize,146,+32,2,,32,,112,2,367,5,"4,014","10,077","398,331",North America
183,Brunei,142,,3,,138,,1,,324,7,"43,312","98,907","437,905",Asia
184,Barbados,138,,7,,100,,31,,480,24,"12,570","43,735","287,412",North America
185,Monaco,128,,4,,105,,19,2,"3,259",102,"38,209","972,957","39,271",Europe
186,Seychelles,126,,,,125,,1,,"1,280",,,,"98,410",Africa
187,Bhutan,108,,,,96,,12,,140,,"55,518","71,871","772,466",Asia
188,Antigua and Barbuda,92,,3,,76,,13,1,939,31,"1,500","15,304","98,012",North America
189,Liechtenstein,89,,1,,85,,3,,"2,334",26,900,"23,598","38,139",Europe
190,French Polynesia,69,,,,62,,7,,245,,"6,140","21,845","281,076",Australia/Oceania
191,St. Vincent Grenadines,56,,,,49,,7,,505,,"2,448","22,059","110,977",North America
192,Saint Martin,53,,3,,41,,9,1,"1,368",77,"1,183","30,544","38,731",North America
193,Macao,46,,,,46,,0,,71,,"4,071","6,261","650,217",Asia
194,Curaçao,31,,1,,30,,0,,189,6,"1,080","6,579","164,163",North America
195,Fiji,27,,1,,18,,8,,30,1,"6,693","7,461","897,113",Australia/Oceania
196,Saint Lucia,25,,,,24,,1,,136,,"3,973","21,626","183,714",North America
197,Timor-Leste,25,,,,24,,1,,19,,"4,238","3,208","1,320,881",Asia
198,Grenada,24,,,,23,,1,,213,,"6,252","55,535","112,577",North America
199,New Caledonia,23,+1,,,22,,1,,80,,"11,265","39,419","285,777",Australia/Oceania
200,Laos,20,,,,19,,1,,3,,"30,727","4,217","7,286,039",Asia
201,Dominica,18,,,,18,,0,,250,,"1,005","13,957","72,005",North America
202,Saint Kitts and Nevis,17,,,,16,,1,,319,,"1,168","21,939","53,238",North America
203,Greenland,14,,,,14,,0,,247,,"6,026","106,129","56,780",North America
204,Montserrat,13,,1,,11,+1,1,,"2,604",200,61,"12,220","4,992",North America
205,Caribbean Netherlands,13,,,,7,,6,,495,,424,"16,154","26,248",North America
206,Falkland Islands,13,,,,13,,0,,"3,726",,"2,256","646,604","3,489",South America
207,Vatican City,12,,,,12,,0,,"14,981",,,,801,Europe
208,Western Sahara,10,,1,,8,,1,,17,2,,,"598,722",Africa
209,MS Zaandam,9,,2,,,,7,,,,,,,
210,British Virgin Islands,9,,1,,7,,1,,298,33,"1,522","50,311","30,252",North America
211,St. Barth,9,,,,6,,3,,911,,"1,246","126,113","9,880",North America
212,Saint Pierre Miquelon,4,,,,1,,3,,691,,,,"5,791",North America
213,Anguilla,3,,,,3,,0,,200,,537,"35,759","15,017",North America
214,China,"84,596",+31,"4,634",,"79,123",+35,839,42,59,3,"90,410,000","62,814","1,439,323,776",Asia
