,_id,test_date,age_60_and_above,male,female,NULL
326,327,2020-06-27,Yes,216,210,0
327,328,2020-06-28,,147,119,26
328,329,2020-06-28,No,5479,5773,72
329,330,2020-06-28,Yes,577,665,0
330,331,2020-06-29,,179,179,38
331,332,2020-06-29,No,6793,7412,233
332,333,2020-06-29,Yes,776,874,5
333,334,2020-06-30,,155,146,17
334,335,2020-06-30,No,7183,7244,231
335,336,2020-06-30,Yes,873,965,0
336,337,2020-07-01,,150,130,45
337,338,2020-07-01,No,6929,7051,225
338,339,2020-07-01,Yes,975,1197,2
339,340,2020-07-02,,145,129,36
340,341,2020-07-02,No,8065,8649,292
341,342,2020-07-02,Yes,907,992,3
342,343,2020-07-03,,91,93,5
343,344,2020-07-03,No,5263,5812,316
344,345,2020-07-03,Yes,615,702,0
345,346,2020-07-04,,61,66,6
346,347,2020-07-04,No,2978,3144,311
347,348,2020-07-04,Yes,340,405,0
348,349,2020-07-05,,148,143,39
349,350,2020-07-05,No,7047,7837,76
350,351,2020-07-05,Yes,794,855,1
351,352,2020-07-06,,219,188,71
352,353,2020-07-06,No,9746,10435,271
353,354,2020-07-06,Yes,979,1233,2
354,355,2020-07-07,,199,153,33
355,356,2020-07-07,No,9198,10008,256
356,357,2020-07-07,Yes,874,979,1
357,358,2020-07-08,,162,161,53
358,359,2020-07-08,No,9069,10198,396
359,360,2020-07-08,Yes,972,1166,1
360,361,2020-07-09,,147,157,71
361,362,2020-07-09,No,8660,9808,510
362,363,2020-07-09,Yes,902,1041,2
363,364,2020-07-10,,111,104,46
364,365,2020-07-10,No,6149,6840,118
365,366,2020-07-10,Yes,705,849,0
366,367,2020-07-11,,77,59,10
367,368,2020-07-11,No,3511,3949,147
368,369,2020-07-11,Yes,359,364,2
369,370,2020-07-12,,239,217,95
370,371,2020-07-12,No,6975,7603,202
371,372,2020-07-12,Yes,794,974,1
372,373,2020-07-13,,136,139,32
373,374,2020-07-13,No,7168,7623,359
374,375,2020-07-13,Yes,764,972,6
375,376,2020-07-14,,131,171,73
376,377,2020-07-14,No,7584,8381,163
377,378,2020-07-14,Yes,829,1147,3
378,379,2020-07-15,,147,123,82
379,380,2020-07-15,No,7103,7838,262
380,381,2020-07-15,Yes,866,1054,2
381,382,2020-07-16,,145,167,67
382,383,2020-07-16,No,7520,8270,104
383,384,2020-07-16,Yes,850,959,2
384,385,2020-07-17,,75,74,6
385,386,2020-07-17,No,4610,5191,108
386,387,2020-07-17,Yes,558,677,0
387,388,2020-07-18,,65,64,6
388,389,2020-07-18,No,1749,1944,46
389,390,2020-07-18,Yes,313,311,2
390,391,2020-07-19,,161,126,82
391,392,2020-07-19,No,5741,6528,18
392,393,2020-07-19,Yes,721,758,2
393,394,2020-07-20,,164,176,76
394,395,2020-07-20,No,7086,7836,44
395,396,2020-07-20,Yes,911,1388,5
396,397,2020-07-21,,178,182,84
397,398,2020-07-21,No,6341,6992,23
398,399,2020-07-21,Yes,923,1373,4
399,400,2020-07-22,,178,179,42
400,401,2020-07-22,No,5966,6999,37
401,402,2020-07-22,Yes,730,1092,8
402,403,2020-07-23,,201,146,56
403,404,2020-07-23,No,6136,6770,45
404,405,2020-07-23,Yes,820,1165,2
