,_id,date,hospitalized,percentage_hospitalized_woman,hospitalized_age_avg,hospitalized_age_std,respirator,percentage_respirator_woman,respirator_age_avg ,respirator_age_std,minor_patients,minor_patients_percentage_woman,minor_patients_avg_age,minor_patients_std_age,medium_patients,medium_patients_percentage_woman,medium_patients_avg_age,medium_patients_std_age,serious_patients,serious_patients_percentage_woman,serious_patients_avg_age,serious_patients_std_age
50,51,2020-04-30,372,41.4,64.0,19.7,90,17.8,66.0,15.3,174,52.3,61.0,21.6,86,39.5,68.0,18.2,112,25.9,67.0,16.7
51,52,2020-05-01,349,42.1,64.0,20.2,89,18.0,66.0,15.7,155,52.9,57.0,22.6,83,45.8,71.0,15.3,111,24.3,68.0,17.1
52,53,2020-05-02,331,43.8,65.0,19.9,90,18.9,66.0,14.3,154,57.8,59.0,22.3,65,43.1,73.0,14.7,112,25.0,67.0,16.7
53,54,2020-05-03,320,45.3,64.0,20.4,84,17.9,66.0,13.9,147,58.5,58.0,22.8,71,47.9,73.0,15.9,102,24.5,67.0,16.4
54,55,2020-05-04,315,44.1,64.0,21.1,78,19.2,66.0,13.8,144,56.9,57.0,23.4,73,43.8,72.0,16.7,98,25.5,67.0,16.7
55,56,2020-05-05,274,44.9,64.0,21.1,72,19.4,66.0,14.0,117,61.5,57.0,23.8,65,43.1,74.0,16.4,92,25.0,67.0,16.9
56,57,2020-05-06,267,43.4,64.0,20.8,70,18.6,66.0,14.0,116,57.8,57.0,23.0,62,41.9,75.0,15.7,89,25.8,67.0,17.0
57,58,2020-05-07,255,44.3,65.0,20.0,71,18.3,66.0,13.8,109,58.7,57.0,22.6,61,44.3,75.0,16.1,85,25.9,68.0,14.3
58,59,2020-05-08,237,46.4,65.0,19.7,64,20.3,66.0,13.8,106,59.4,59.0,22.3,53,52.8,74.0,16.7,78,24.4,68.0,14.4
59,60,2020-05-09,237,46.4,64.0,20.3,64,20.3,66.0,15.0,110,62.7,59.0,23.2,49,44.9,73.0,16.1,78,24.4,67.0,15.5
60,61,2020-05-10,241,44.4,64.0,20.2,66,19.7,66.0,15.3,115,59.1,58.0,22.7,52,46.2,72.0,16.2,74,20.3,67.0,15.6
61,62,2020-05-11,225,44.9,65.0,19.8,60,18.3,66.0,16.4,101,61.4,60.0,22.3,55,47.3,72.0,15.8,69,18.8,67.0,16.4
62,63,2020-05-12,219,45.2,65.0,19.6,56,21.4,65.0,16.4,100,59.0,61.0,22.3,54,46.3,71.0,17.0,65,23.1,67.0,15.7
63,64,2020-05-13,197,44.2,66.0,19.2,53,22.6,66.0,15.2,87,58.6,63.0,22.0,49,44.9,70.0,17.4,61,23.0,67.0,15.8
64,65,2020-05-14,188,44.7,65.0,19.6,52,23.1,66.0,15.3,83,61.4,62.0,22.8,44,43.2,69.0,17.1,61,23.0,67.0,15.7
65,66,2020-05-15,181,45.3,65.0,19.9,52,23.1,66.0,15.3,76,64.5,61.0,23.4,44,43.2,70.0,17.5,61,23.0,67.0,15.7
66,67,2020-05-16,177,45.8,65.0,19.9,51,23.5,66.0,15.4,76,64.5,60.0,23.4,41,43.9,70.0,16.6,60,23.3,67.0,15.8
67,68,2020-05-17,185,47.0,65.0,20.2,45,24.4,65.0,16.0,90,64.4,62.0,22.8,40,40.0,70.0,18.5,55,23.6,67.0,15.6
68,69,2020-05-18,170,44.1,65.0,20.4,43,20.9,66.0,15.3,75,61.3,61.0,24.1,43,39.5,68.0,17.9,52,23.1,67.0,15.6
69,70,2020-05-19,158,41.8,65.0,19.3,40,20.0,67.0,14.0,63,58.7,62.0,22.3,44,34.1,66.0,18.3,51,27.5,67.0,16.0
70,71,2020-05-20,152,43.4,64.0,19.6,41,22.0,68.0,12.7,66,60.6,61.0,22.1,40,32.5,65.0,20.4,46,28.3,69.0,13.5
71,72,2020-05-21,147,41.5,64.0,20.0,37,21.6,67.0,13.5,68,52.9,58.0,23.2,32,37.5,66.0,17.4,47,27.7,70.0,13.8
72,73,2020-05-22,143,42.7,63.0,20.0,37,21.6,67.0,13.5,63,55.6,56.0,23.2,33,39.4,66.0,17.4,47,27.7,70.0,13.8
73,74,2020-05-23,146,42.5,63.0,19.9,37,21.6,67.0,13.5,64,54.7,56.0,23.0,35,40.0,67.0,17.3,47,27.7,70.0,13.8
74,75,2020-05-24,144,42.4,63.0,19.9,34,23.5,67.0,13.1,62,54.8,56.0,23.2,39,41.0,68.0,15.6,43,25.6,69.0,14.7
75,76,2020-05-25,129,40.3,63.0,19.8,29,24.1,65.0,13.6,56,53.6,55.0,23.5,32,34.4,67.0,12.8,41,26.8,69.0,15.5
76,77,2020-05-26,120,42.5,63.0,19.3,32,25.0,66.0,13.4,47,55.3,57.0,23.5,37,40.5,66.0,14.7,36,27.8,69.0,14.6
77,78,2020-05-27,118,41.5,64.0,18.1,37,27.0,67.0,12.5,41,53.7,59.0,22.1,38,44.7,66.0,16.1,39,25.6,69.0,14.1
78,79,2020-05-28,110,37.3,63.0,17.7,34,26.5,67.0,13.0,38,50.0,58.0,21.7,36,36.1,64.0,15.2,36,25.0,68.0,13.9
79,80,2020-05-29,115,37.4,63.0,17.1,37,24.3,67.0,12.7,40,45.0,58.0,20.3,36,41.7,65.0,15.9,39,25.6,67.0,13.2
80,81,2020-05-30,119,37.0,63.0,17.1,33,21.2,67.0,13.2,41,46.3,58.0,20.8,43,39.5,65.0,14.9,35,22.9,67.0,13.1
81,82,2020-05-31,121,36.4,63.0,16.6,31,22.6,67.0,13.4,39,43.6,57.0,20.2,47,34.0,65.0,13.4,35,31.4,69.0,13.9
82,83,2020-06-01,122,36.9,63.0,17.4,30,23.3,67.0,13.5,43,44.2,57.0,21.7,45,37.8,65.0,12.8,34,26.5,69.0,13.8
83,84,2020-06-02,119,37.0,61.0,19.6,29,24.1,67.0,13.8,45,46.7,54.0,25.6,45,35.6,64.0,12.8,29,24.1,68.0,14.2
84,85,2020-06-03,114,36.8,61.0,19.4,25,28.0,67.0,14.5,45,48.9,55.0,24.5,41,31.7,64.0,13.2,28,25.0,69.0,14.5
85,86,2020-06-04,121,35.5,60.0,20.1,23,30.4,67.0,15.0,55,41.8,52.0,23.5,36,33.3,65.0,13.8,30,26.7,68.0,14.0
86,87,2020-06-05,116,35.3,60.0,19.7,23,30.4,67.0,15.2,46,43.5,50.0,22.8,41,31.7,67.0,12.8,29,27.6,68.0,14.3
87,88,2020-06-06,112,35.7,61.0,19.2,21,33.3,66.0,15.6,41,46.3,53.0,24.1,42,31.0,65.0,13.7,29,27.6,68.0,14.0
88,89,2020-06-07,121,34.7,60.0,20.4,23,30.4,66.0,15.0,50,42.0,51.0,23.2,42,31.0,65.0,15.6,29,27.6,69.0,15.0
89,90,2020-06-08,131,35.1,59.0,20.9,23,30.4,66.0,15.0,55,41.8,48.0,23.5,46,32.6,64.0,15.4,30,26.7,69.0,15.1
90,91,2020-06-09,131,35.9,60.0,19.9,24,33.3,67.0,15.3,56,46.4,52.0,23.9,44,27.3,64.0,12.4,31,29.0,67.0,15.5
91,92,2020-06-10,131,36.6,60.0,19.9,23,34.8,67.0,15.7,56,46.4,55.0,24.4,44,29.5,63.0,13.7,31,29.0,66.0,15.9
92,93,2020-06-11,134,34.3,60.0,18.9,23,30.4,66.0,15.3,59,40.7,54.0,22.2,41,31.7,62.0,13.6,34,26.5,67.0,14.6
93,94,2020-06-12,135,31.9,61.0,17.7,24,29.2,67.0,15.2,57,36.8,56.0,20.9,45,31.1,63.0,14.0,33,24.2,66.0,14.1
94,95,2020-06-13,135,32.6,61.0,17.8,25,28.0,67.0,14.9,52,36.5,55.0,21.7,49,34.7,63.0,13.5,34,23.5,68.0,13.0
95,96,2020-06-14,143,34.3,61.0,16.6,22,27.3,71.0,9.1,62,41.9,57.0,19.4,50,32.0,61.0,13.8,31,22.6,71.0,10.1
96,97,2020-06-15,155,35.5,61.0,16.7,25,28.0,68.0,12.1,71,39.4,59.0,19.2,48,33.3,59.0,14.3,36,30.6,67.0,12.7
97,98,2020-06-16,159,34.0,59.0,17.9,26,30.8,67.0,11.8,76,35.5,56.0,20.0,45,33.3,60.0,15.3,38,31.6,65.0,14.5
98,99,2020-06-17,156,35.9,61.0,16.9,29,34.5,68.0,12.2,72,38.9,56.0,18.3,48,33.3,61.0,16.1,36,33.3,69.0,11.4
99,100,2020-06-18,182,38.5,61.0,17.6,28,35.7,69.0,12.5,100,44.0,56.0,18.2,43,34.9,64.0,17.1,39,28.2,70.0,11.8
100,101,2020-06-19,185,41.1,63.0,16.7,28,35.7,69.0,12.5,100,44.0,61.0,17.3,47,42.6,63.0,17.4,38,31.6,71.0,11.9
101,102,2020-06-20,207,44.0,63.0,17.2,28,35.7,69.0,12.5,118,48.3,61.0,18.2,49,40.8,63.0,16.7,40,35.0,71.0,12.1
102,103,2020-06-21,242,43.8,63.0,17.7,29,37.9,70.0,12.3,139,47.5,59.0,18.6,58,44.8,65.0,16.9,45,31.1,72.0,11.9
103,104,2020-06-22,225,41.3,64.0,17.4,29,37.9,67.0,15.2,127,43.3,60.0,18.3,54,42.6,68.0,15.6,44,34.1,70.0,13.9
104,105,2020-06-23,212,40.6,64.0,17.3,26,38.5,66.0,15.2,122,42.6,61.0,18.5,50,40.0,68.0,14.9,40,35.0,69.0,14.4
105,106,2020-06-24,210,40.0,63.0,17.2,27,37.0,67.0,15.4,123,42.3,61.0,18.4,42,38.1,65.0,14.8,45,35.6,70.0,14.1
106,107,2020-06-25,202,40.6,63.0,17.7,28,35.7,68.0,15.0,105,41.9,60.0,18.9,53,41.5,67.0,16.5,44,36.4,67.0,14.2
107,108,2020-06-26,227,46.7,62.0,19.9,26,34.6,66.0,14.5,127,52.8,57.0,22.2,55,41.8,67.0,16.2,45,35.6,68.0,13.2
108,109,2020-06-27,232,48.7,62.0,20.3,22,22.7,69.0,8.5,137,54.0,58.0,23.0,55,49.1,67.0,15.1,40,30.0,69.0,11.5
109,110,2020-06-28,250,46.0,63.0,19.5,23,26.1,69.0,9.6,145,50.3,58.0,21.6,66,47.0,69.0,15.8,39,28.2,67.0,11.7
110,111,2020-06-29,262,43.1,62.0,19.7,24,29.2,68.0,9.9,153,44.4,57.0,20.8,65,46.2,71.0,16.0,44,34.1,67.0,14.0
111,112,2020-06-30,283,43.8,62.0,19.1,24,29.2,68.0,11.3,160,45.6,58.0,20.1,67,46.3,68.0,17.2,56,35.7,68.0,14.6
112,113,2020-07-01,319,42.3,60.0,20.5,24,33.3,68.0,11.1,188,42.6,56.0,21.5,72,51.4,66.0,19.1,59,30.5,69.0,13.5
113,114,2020-07-02,324,42.9,61.0,21.0,27,40.7,71.0,15.2,182,44.5,55.0,22.3,71,40.8,69.0,16.9,71,40.8,69.0,14.9
114,115,2020-07-03,339,41.6,60.0,20.9,28,32.1,71.0,15.3,184,45.7,53.0,22.2,74,36.5,67.0,16.7,81,37.0,70.0,14.9
115,116,2020-07-04,352,42.6,60.0,20.8,32,25.0,67.0,15.2,187,48.7,53.0,22.2,81,33.3,69.0,16.2,84,38.1,68.0,14.4
116,117,2020-07-05,403,41.7,61.0,20.1,31,25.8,69.0,15.1,230,45.2,54.0,20.9,80,38.8,71.0,16.0,93,35.5,69.0,14.3
117,118,2020-07-06,423,42.3,61.0,20.0,34,23.5,69.0,15.3,239,47.3,55.0,20.6,93,34.4,70.0,17.5,91,37.4,68.0,15.0
118,119,2020-07-07,450,41.3,62.0,20.3,35,25.7,70.0,15.7,264,46.6,58.0,21.3,95,30.5,67.0,19.4,91,37.4,69.0,14.4
119,120,2020-07-08,474,42.4,62.0,20.1,38,26.3,68.0,16.0,276,47.1,57.0,21.3,87,35.6,68.0,16.1,111,36.0,69.0,15.6
120,121,2020-07-09,527,43.5,61.0,20.3,41,24.4,68.0,16.5,303,49.2,56.0,21.3,98,35.7,67.0,17.1,126,35.7,69.0,16.0
121,122,2020-07-10,542,45.4,60.0,20.7,41,26.8,68.0,16.5,307,51.8,55.0,21.9,104,38.5,67.0,16.2,131,35.9,69.0,16.0
122,123,2020-07-11,549,43.9,61.0,20.0,47,25.5,69.0,16.1,293,49.1,54.0,20.7,120,38.3,69.0,15.8,136,37.5,68.0,16.2
123,124,2020-07-12,624,46.0,60.0,20.5,47,29.8,67.0,15.5,348,53.4,54.0,21.2,123,35.0,69.0,17.0,153,37.9,67.0,16.2
124,125,2020-07-13,631,45.2,61.0,20.6,52,26.9,68.0,14.7,330,53.9,55.0,21.8,118,33.1,67.0,18.0,183,37.2,68.0,16.4
125,126,2020-07-14,619,44.7,61.0,20.2,54,29.6,69.0,16.2,294,53.4,55.0,21.6,136,38.2,65.0,18.4,189,36.0,68.0,16.2
126,127,2020-07-15,648,45.5,61.0,20.3,55,29.1,68.0,16.1,326,51.2,56.0,21.5,118,39.0,64.0,18.9,204,40.2,68.0,16.7
127,128,2020-07-16,662,47.6,60.0,20.8,58,27.6,67.0,15.4,331,54.4,55.0,22.2,127,41.7,63.0,18.9,204,40.2,68.0,16.2
128,129,2020-07-17,670,47.2,61.0,20.5,55,29.1,66.0,15.0,315,52.4,55.0,22.8,142,46.5,62.0,18.2,213,39.9,67.0,16.0
129,130,2020-07-18,675,45.8,61.0,20.5,55,29.1,65.0,15.1,301,51.2,55.0,22.8,145,47.6,64.0,17.7,229,37.6,67.0,16.3
130,131,2020-07-19,785,47.5,60.0,21.0,72,34.7,66.0,16.6,382,52.4,54.0,23.1,137,43.1,63.0,16.9,266,42.9,67.0,16.7
131,132,2020-07-20,783,47.5,60.0,20.7,78,34.6,65.0,16.0,379,51.2,55.0,22.5,140,48.6,63.0,18.3,264,41.7,67.0,16.3
132,133,2020-07-21,757,47.6,60.0,21.0,80,33.8,65.0,16.2,366,50.8,54.0,22.9,133,46.6,65.0,18.2,258,43.4,66.0,17.0
133,134,2020-07-22,749,47.3,62.0,20.6,80,35.0,64.0,15.8,337,51.0,56.0,23.1,128,48.4,66.0,16.6,284,42.3,67.0,16.8
134,135,2020-07-23,763,47.3,62.0,19.8,82,32.9,64.0,15.1,315,55.2,57.0,22.3,143,42.7,64.0,19.0,305,41.3,67.0,15.7
