Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
7,World,"24,233,212","181,941","827,019","4,293","16,729,687","128,829","6,676,506","61,832",26.08.20,22:59
1,North America,"7,133,435","41,009","265,227","1,442","4,077,577","21,262","2,790,631","20,736",27.08.20,23:00
2,South America,"5,986,465","12,566","195,309",552,"4,590,130","8,985","1,201,026","14,999",27.08.20,23:00
3,Asia,"6,680,411","101,579","136,532","1,634","5,323,647","81,478","1,220,232","18,867",27.08.20,23:00
4,Europe,"3,480,260","27,926","206,587",362,"2,031,475","11,321","1,242,198","5,556",27.08.20,23:00
5,Africa,"1,223,624","7,060","28,865",209,"954,615","9,140","240,144","1,282",27.08.20,23:00
6,Oceania,"27,914",130,600,24,"22,400",281,"4,914",48,27.08.20,23:00
7,World,"24,532,830","190,270","833,135","4,223","17,000,495","132,467","6,699,200","61,492",27.08.20,23:00
1,North America,"7,190,233","40,958","266,969","1,284","4,114,247","15,592","2,809,017","20,545",28.08.20,23:01
2,South America,"6,062,205","12,319","197,111",499,"4,658,090","9,548","1,207,004","15,083",28.08.20,23:01
3,Asia,"6,783,852","101,957","138,128","1,576","5,411,575","86,387","1,234,149","18,911",28.08.20,23:01
4,Europe,"3,510,739","29,719","206,919",327,"2,043,814","10,734","1,260,006","5,641",28.08.20,23:01
5,Africa,"1,230,136","4,887","28,988",78,"960,621","2,767","240,527","1,288",28.08.20,23:01
6,Oceania,"28,081",167,612,12,"22,674",274,"4,795",49,28.08.20,23:01
7,World,"24,805,967","190,007","838,742","3,776","17,211,672","125,302","6,755,553","61,521",28.08.20,23:01
1,North America,"7,218,370","7,762","268,103",646,"4,140,033","5,687","2,810,234","20,455",29.08.20,12:29
2,South America,"6,132,988","1,280","198,433",55,"4,711,397","2,393","1,223,158","15,117",29.08.20,12:29
3,Asia,"6,802,622","17,455","138,412",269,"5,421,761","8,578","1,242,449","18,639",29.08.20,12:29
4,Europe,"3,519,233","9,355","207,099",168,"2,053,793","8,051","1,258,341","5,635",29.08.20,12:29
5,Africa,"1,233,365",,"29,141",,"964,884",38,"239,340","1,289",29.08.20,12:29
6,Oceania,"28,260",112,629,17,"22,904",230,"4,727",46,29.08.20,12:29
7,World,"24,935,559","35,964","841,832","1,155","17,315,423","24,977","6,778,304","61,185",29.08.20,12:29
1,North America,"7,296,024","31,274","270,014",940,"4,188,639","12,426","2,837,371","20,385",30.08.20,23:00
2,South America,"6,204,520","4,426","200,228",269,"4,787,674","16,214","1,216,618","15,155",30.08.20,23:00
3,Asia,"6,991,385","102,509","141,158","1,524","5,598,323","100,038","1,251,904","18,820",30.08.20,23:00
4,Europe,"3,554,865","21,648","207,384",186,"2,065,199","6,452","1,282,282","5,640",30.08.20,23:00
5,Africa,"1,246,813","4,901","29,550",78,"976,426","3,518","240,837","1,277",30.08.20,23:00
6,Oceania,"28,391",131,640,11,"23,166",262,"4,585",44,30.08.20,23:00
7,World,"25,322,719","164,889","848,989","3,008","17,640,078","138,910","6,833,652","61,325",30.08.20,23:00
1,North America,"7,320,778","13,175","270,678",503,"4,203,671","4,085","2,846,429","20,079",31.08.20,18:58
2,South America,"6,246,073","2,366","201,250",114,"4,842,836","10,231","1,201,987","15,210",31.08.20,18:58
3,Asia,"7,039,215","46,795","141,826",659,"5,640,144","40,593","1,257,245","18,828",31.08.20,18:58
4,Europe,"3,568,977","13,359","207,589",210,"2,071,034","5,292","1,290,354","5,679",31.08.20,18:58
5,Africa,"1,251,274",899,"29,646",10,"980,380",384,"241,248","1,270",31.08.20,18:58
6,Oceania,"28,476",85,681,41,"23,415",249,"4,380",41,31.08.20,18:58
7,World,"25,455,514","76,679","851,685","1,537","17,762,131","60,834","6,841,698","61,111",31.08.20,18:58
1,North America,"7,392,546","33,066","272,175","1,044","4,256,035","18,902","2,864,336","20,009",01.09.20,23:00
2,South America,"6,328,936","11,181","202,909",391,"4,937,355","11,110","1,188,672","15,214",01.09.20,23:00
3,Asia,"7,187,049","100,910","144,061","1,579","5,765,264","80,841","1,277,724","18,797",01.09.20,23:00
4,Europe,"3,610,551","28,442","208,152",417,"2,084,522","11,150","1,317,877","5,819",01.09.20,23:00
5,Africa,"1,261,643","4,327","29,950",88,"990,355","2,957","241,338","1,262",01.09.20,23:00
6,Oceania,"28,654",87,686,5,"23,584",166,"4,384",39,01.09.20,23:00
7,World,"25,810,100","178,013","857,948","3,524","18,057,766","125,126","6,894,386","61,144",01.09.20,23:00
1,North America,"7,444,883","35,043","274,225","1,562","4,322,564","37,095","2,848,094","19,402",02.09.20,23:01
2,South America,"6,400,791","12,178","205,053",458,"5,030,288","10,939","1,165,450","15,224",02.09.20,23:01
3,Asia,"7,296,376","107,887","145,640","1,553","5,854,882","86,772","1,295,854","18,842",02.09.20,23:01
4,Europe,"3,645,546","34,231","208,555",381,"2,097,475","10,717","1,339,516","5,858",02.09.20,23:01
5,Africa,"1,270,944","6,527","30,303",199,"1,008,204","5,650","232,437","1,278",02.09.20,23:01
