,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
80,2020-08-18,20:00,81,Senegal,16797183.0,12305,68.0,256.0,,7767.0,39.0,4282.0,48.0,733.0,15.0,131367.0,7821.0,5.0
81,2020-08-18,20:00,80,Paraguay,7143723.0,10135,,145.0,,6210.0,,3780.0,59.0,1419.0,20.0,156611.0,21923.0,2.0
82,2020-08-18,20:00,86,Norway,5426743.0,10089,29.0,262.0,1.0,8857.0,,970.0,1.0,1859.0,48.0,556653.0,102576.0,4.0
83,2020-08-18,20:00,84,Zambia,18445662.0,9981,142.0,264.0,,8776.0,201.0,941.0,,541.0,14.0,102178.0,5539.0,5.0
84,2020-08-18,20:00,83,Lebanon,6821306.0,9758,421.0,107.0,2.0,2852.0,43.0,6799.0,65.0,1431.0,16.0,430162.0,63062.0,3.0
85,2020-08-18,20:00,87,DRC,89884386.0,9721,15.0,243.0,,8882.0,177.0,596.0,,108.0,3.0,,,5.0
86,2020-08-18,20:00,88,Malaysia,32418835.0,9219,7.0,125.0,,8902.0,26.0,192.0,8.0,284.0,4.0,1114246.0,34370.0,3.0
87,2020-08-18,20:00,90,French Guiana,299618.0,8622,,53.0,,7985.0,,584.0,17.0,28777.0,177.0,46563.0,155408.0,2.0
88,2020-08-18,20:00,89,Guinea,13175650.0,8620,,51.0,,7472.0,,1097.0,24.0,654.0,4.0,14407.0,1093.0,5.0
89,2020-08-18,20:00,85,Libya,6883162.0,8579,,157.0,,969.0,,7453.0,,1246.0,23.0,82057.0,11921.0,5.0
90,2020-08-18,20:00,91,Gabon,2232146.0,8270,,53.0,,6404.0,,1813.0,1.0,3705.0,24.0,102175.0,45774.0,5.0
91,2020-08-18,20:00,93,Tajikistan,9563922.0,8131,32.0,65.0,1.0,6935.0,38.0,1131.0,,850.0,7.0,,,3.0
92,2020-08-18,20:00,95,Haiti,11420280.0,7897,,196.0,,5235.0,,2466.0,,691.0,17.0,20999.0,1839.0,1.0
93,2020-08-18,20:00,96,Finland,5541862.0,7776,24.0,334.0,,7050.0,,392.0,,1403.0,60.0,500021.0,90226.0,4.0
94,2020-08-18,20:00,94,Albania,2877376.0,7499,,230.0,,3816.0,,3453.0,15.0,2606.0,80.0,46529.0,16171.0,4.0
95,2020-08-18,20:00,92,Greece,10416150.0,7472,250.0,232.0,2.0,3804.0,,3436.0,25.0,717.0,22.0,740871.0,71127.0,4.0
96,2020-08-18,20:00,98,Luxembourg,627258.0,7469,,124.0,,6739.0,,606.0,3.0,11907.0,198.0,685935.0,1093545.0,4.0
97,2020-08-18,20:00,97,Croatia,4101820.0,6855,199.0,166.0,,5318.0,64.0,1371.0,11.0,1671.0,40.0,140471.0,34246.0,4.0
98,2020-08-18,20:00,99,Mauritania,4664413.0,6762,,157.0,,6018.0,,587.0,3.0,1450.0,34.0,58147.0,12466.0,5.0
99,2020-08-18,20:00,100,Maldives,541735.0,5909,,23.0,,3488.0,,2398.0,12.0,10908.0,42.0,97211.0,179444.0,3.0
100,2020-08-18,20:00,104,Djibouti,989819.0,5372,,59.0,,5211.0,,102.0,,5427.0,60.0,63299.0,63950.0,5.0
101,2020-08-18,20:00,101,Zimbabwe,14890308.0,5308,,135.0,,3848.0,,1325.0,,356.0,9.0,149748.0,10057.0,5.0
102,2020-08-18,20:00,103,Malawi,19189744.0,5125,,162.0,,2690.0,,2273.0,4.0,267.0,8.0,39764.0,2072.0,5.0
103,2020-08-18,20:00,105,Hungary,9657050.0,4970,24.0,609.0,1.0,3631.0,1.0,730.0,6.0,515.0,63.0,383411.0,39703.0,4.0
104,2020-08-18,20:00,106,Equatorial Guinea,1408394.0,4821,,83.0,,2182.0,,2556.0,,3423.0,59.0,44356.0,31494.0,5.0
105,2020-08-18,20:00,108,CAR,4840279.0,4667,,61.0,,1748.0,,2858.0,2.0,964.0,13.0,30681.0,6339.0,5.0
106,2020-08-18,20:00,107,Hong Kong,7504867.0,4561,36.0,70.0,1.0,3677.0,78.0,814.0,31.0,608.0,9.0,780415.0,103988.0,3.0
107,2020-08-18,20:00,102,Namibia,2546649.0,4464,120.0,37.0,1.0,2407.0,28.0,2020.0,18.0,1753.0,15.0,42945.0,16863.0,5.0
108,2020-08-18,20:00,110,Nicaragua,6634631.0,4115,,128.0,,2913.0,,1074.0,,620.0,19.0,,,1.0
109,2020-08-18,20:00,109,Montenegro,628077.0,4085,,80.0,,2986.0,,1019.0,,6504.0,127.0,42735.0,68041.0,4.0
110,2020-08-18,20:00,111,Eswatini,1161709.0,3894,,73.0,,2371.0,,1450.0,11.0,3352.0,63.0,28380.0,24430.0,5.0
111,2020-08-18,20:00,112,Congo,5534600.0,3831,,76.0,,1625.0,,2130.0,,692.0,14.0,,,5.0
