,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
151,2020-10-10,23:00,136.0,Sierra Leone,8020588.0,2300,5.0,72.0,,1725.0,2.0,503.0,,287.0,9.0,,,5.0
152,2020-10-10,23:00,149.0,Burkina Faso,21055453.0,2254,,60.0,,1516.0,,678.0,,107.0,3.0,,,5.0
153,2020-10-10,23:00,143.0,Uruguay,3477056.0,2251,,49.0,,1917.0,,285.0,2.0,647.0,14.0,259772.0,74710.0,2.0
154,2020-10-10,23:00,137.0,Yemen,30002029.0,2051,,593.0,,1329.0,,129.0,,68.0,20.0,,,3.0
155,2020-10-10,23:00,144.0,Cyprus,1209773.0,1984,33.0,25.0,,1369.0,,590.0,2.0,1640.0,21.0,408839.0,337947.0,3.0
156,2020-10-10,23:00,151.0,Togo,8330602.0,1921,,49.0,,1433.0,,439.0,,231.0,6.0,99354.0,11926.0,5.0
157,2020-10-10,23:00,139.0,New Zealand,5002100.0,1870,4.0,25.0,,1801.0,1.0,44.0,,374.0,5.0,996955.0,199307.0,6.0
158,2020-10-10,23:00,177.0,Martinique,375184.0,1851,,22.0,,98.0,,1731.0,14.0,4934.0,59.0,39379.0,104959.0,1.0
159,2020-10-10,23:00,156.0,Lesotho,2146908.0,1800,,42.0,,926.0,,832.0,,838.0,20.0,20692.0,9638.0,5.0
160,2020-10-10,23:00,150.0,Liberia,5089461.0,1360,,82.0,,1245.0,,33.0,2.0,267.0,16.0,30332.0,5960.0,5.0
161,2020-10-10,23:00,157.0,Chad,16550719.0,1274,,90.0,,1102.0,,82.0,,77.0,5.0,,,5.0
162,2020-10-10,23:00,152.0,Niger,24435591.0,1201,,69.0,,1123.0,,9.0,9.0,49.0,3.0,27584.0,1129.0,5.0
163,2020-10-10,23:00,155.0,Vietnam,97578461.0,1107,2.0,35.0,,1024.0,,48.0,,11.0,0.4,1009145.0,10342.0,3.0
164,2020-10-10,23:00,160.0,Sao Tome and Principe,220256.0,922,,15.0,,890.0,,17.0,,4186.0,68.0,5308.0,24099.0,5.0
165,2020-10-10,23:00,163.0,San Marino,33951.0,741,,42.0,,682.0,,17.0,3.0,21826.0,1237.0,7895.0,232541.0,4.0
166,2020-10-10,23:00,162.0,Diamond Princess,,712,,13.0,,659.0,8.0,40.0,4.0,,,,,
167,2020-10-10,23:00,173.0,Sint Maarten,43009.0,703,4.0,22.0,,622.0,2.0,59.0,6.0,16345.0,512.0,4684.0,108907.0,1.0
168,2020-10-10,23:00,165.0,Channel Islands,174302.0,699,,48.0,,623.0,,28.0,2.0,4010.0,275.0,127554.0,731799.0,4.0
169,2020-10-10,23:00,172.0,Turks and Caicos,38859.0,695,,6.0,,672.0,,17.0,4.0,17885.0,154.0,3640.0,93672.0,1.0
170,2020-10-10,23:00,195.0,Curaçao,164278.0,571,22.0,1.0,,308.0,17.0,262.0,2.0,3476.0,6.0,9070.0,55211.0,1.0
171,2020-10-10,23:00,174.0,Papua New Guinea,8992690.0,549,,7.0,,532.0,,10.0,,61.0,0.8,26417.0,2938.0,6.0
172,2020-10-10,23:00,167.0,Taiwan,23828714.0,527,,7.0,,488.0,,32.0,,22.0,0.3,96280.0,4041.0,3.0
173,2020-10-10,23:00,169.0,Burundi,11984411.0,517,2.0,1.0,,472.0,,44.0,,43.0,0.08,37522.0,3131.0,5.0
174,2020-10-10,23:00,166.0,Tanzania,60185090.0,509,,21.0,,183.0,,305.0,7.0,8.0,0.3,,,5.0
175,2020-10-10,23:00,170.0,Comoros,874572.0,495,,7.0,,475.0,,13.0,,566.0,8.0,,,5.0
176,2020-10-10,23:00,171.0,Faeroe Islands,48914.0,477,,,,461.0,2.0,16.0,,9752.0,,138822.0,2838083.0,4.0
177,2020-10-10,23:00,182.0,Gibraltar,33688.0,476,8.0,,,405.0,7.0,71.0,,14130.0,,53157.0,1577921.0,4.0
178,2020-10-10,23:00,184.0,Saint Martin,38844.0,466,,8.0,,309.0,,149.0,11.0,11997.0,206.0,5170.0,133096.0,1.0
179,2020-10-10,23:00,178.0,Eritrea,3559760.0,414,9.0,,,372.0,8.0,42.0,,116.0,,,,5.0
180,2020-10-10,23:00,175.0,Mauritius,1272353.0,395,,10.0,,358.0,,27.0,,310.0,8.0,253248.0,199039.0,5.0
181,2020-10-10,23:00,176.0,Isle of Man,85157.0,345,,24.0,,316.0,,5.0,,4051.0,282.0,14134.0,165976.0,4.0
182,2020-10-10,23:00,180.0,Mongolia,3292583.0,315,,,,310.0,2.0,5.0,1.0,96.0,,76617.0,23270.0,3.0
